196 Albany,No Wait Time
4101 White Plains Road,No Wait Time
57 Cleveland Place,No Wait Time
Bathgate Contract Post...,No Wait Time
Bay Ridge 5th Avenue,Not Reported Yet
Beach 39th,1-1.5 Hours
Bellevue Hospital Center,1-1.5 Hours
Belvis Diagnosc & Tr...,Not Reported Yet
Bensonhurst 14th Avenue,0-30 Minutes
Brooklyn Army Terminal,0-30 Minutes
Canarsie Municipal Lot,0-30 Minutes
CI Ida G Israel Chc,Not Reported Yet
Co-op City Retail Space,No Wait Time
Coney Island Hospital ...,0-30 Minutes
CU Jonathan Williams C...,30-60 Minutes
CU Vanderbilt,Not Reported Yet
CU Woodside Houses CHC,Not Reported Yet
Cumberland Dtc,Not Reported Yet
Edward Grant,1.5-2 Hours
Elmhurst Hospital Center,Not Reported Yet
EY East New York DTC,Not Reported Yet
Fort Hamilton,1.5-2 Hours
Gouverneur Healthcare,Not Reported Yet
Greenbelt Recreaonal...,Not Reported Yet
Harlem Hospital Center,0-30 Minutes
Highbridge Pool,1-1.5 Hours
Jacobi Medical Center,Not Reported Yet
JFK Airport,No Wait Time
Kew Gardens,Not Reported Yet
Kings County Hospital ...,0-30 Minutes
LaGuardia Airport,No Wait Time
Leﬀerts,Not Reported Yet
Lincoln Medical Center,No Wait Time
Mariners Harbor Library,Not Reported Yet
Metropolitan Hospital ...,1-1.5 Hours
Midwood,30-60 Minutes
Morrisania Diagnosc ...,Not Reported Yet
Mt. Loreo,Not Reported Yet
North Central Bronx Ho...,30-60 Minutes
Northern Boulevard,Not Reported Yet
Old Broadway,0-30 Minutes
Queens Hospital Center,1.5-2 Hours
Rain Boston Road Senio...,Not Reported Yet
Red Hook Recreaonal ...,No Wait Time
Sorrenona...,Not Reported Yet
St. Albans,Not Reported Yet
St. George Ferry Termi...,0-30 Minutes
St. James Recreaonal...,1-1.5 Hours
Starret City,No Wait Time
SY Dyckman Lcdla,Not Reported Yet
SY St. Nicholas Chc,Not Reported Yet
Sydenham,Not Reported Yet
Sydenham Health Center,Not Reported Yet
Tremont Community Heal...,Not Reported Yet
Windsor Park Library,0-30 Minutes
Woodhull Medical Center,Not Reported Yet
